pop_code,VT,IH,,pop_code,VT,IH,,,
CHL,0.024118736,0.139849752,,CHL,0.024118736,0.139849752,,-3.7009E-12,-1.2271E-11
CLK,0.15034011,0.050767694,,CLK,0.15034011,0.050767694,,-3.6447E-11,-1.39611E-12
CPL,0.048710305,0.111927062,,CPL,0.048710305,0.111927062,,3.7305E-12,-2.6974E-11
DCK,0.1457479,0.060428776,,DCK,0.1457479,0.060428776,,9.15498E-12,-3.0418E-12
DPR,0.025179619,0.123054937,,DPR,0.025179619,0.123054937,,-4.40301E-13,2.8206E-11
GAM,0.096435964,0.070358224,,GAM,0.096435964,0.070358224,,-2.48659E-12,3.12329E-12
HBY,0.149486884,0.061615601,,HBY,0.149486885,0.061615601,,-2.5246E-11,1.9839E-12
HST,0.114472412,0.057848547,,HST,0.114472412,0.057848547,,-2.7067E-11,3.986E-12
KAP,0.090959266,0.075915121,,KAP,0.090959266,0.075915121,,-1.8674E-12,2.04939E-12
LON,0.026904501,0.1449783,,LON,0.026904501,0.1449783,,9.08402E-13,3.6977E-11
LPD,0.02825495,0.134081453,,LPD,0.02825495,0.134081453,,-9.31703E-13,-1.5054E-11
MMT,0.123837665,0.062490333,,MMT,0.123837665,0.062490333,,2.3396E-11,1.6755E-12
NBY,0.029677387,0.124300525,,NBY,0.029677387,0.124300525,,-3.0442E-12,-7.6E-12
NIC,0.021847436,0.12701565,,NIC,0.021847436,0.12701565,,4.5527E-12,-2.7631E-11
OFR,0.149846271,0.063526757,,OFR,0.149846271,0.063526757,,-1.9572E-11,1.48151E-12
OUT,0.133698776,0.064902835,,OUT,0.133698776,0.064902835,,-3.5674E-11,4.2497E-12
SKN,0.145270929,0.063708462,,SKN,0.145270929,0.063708462,,4.0501E-11,1.07929E-12
SLC,0.023694754,0.131768405,,SLC,0.023694754,0.131768405,,-3.1494E-12,3.7469E-11
SSR,0.077653617,0.150724933,,SSR,0.077653617,0.150724933,,-3.2062E-12,-4.8616E-11
TIM,0.077242643,0.093956657,,TIM,0.077242643,0.093956657,,1.06751E-12,4.0169E-12
TUR,0.148465797,0.064693756,,TUR,0.148465797,0.064693756,,5.107E-12,1.5388E-12
USDA1,0.033532958,0.113930769,,USDA1,0.033532958,0.113930769,,-2.2645E-12,-3.5302E-11
USDA10,0.041164141,0.119475462,,USDA10,0.041164141,0.119475462,,-1.6712E-12,4.2606E-11
USDA12,0.035995435,0.121127978,,USDA12,0.035995435,0.121127978,,-3.36398E-13,-3.2738E-11
USDA13,0.024787152,0.122953162,,USDA13,0.024787152,0.122953162,,-3.9639E-12,-2.748E-12
USDA14,0.032286823,0.125628918,,USDA14,0.032286823,0.125628918,,-4.1321E-12,9.34799E-12
USDA15,0.025003657,0.130235314,,USDA15,0.025003657,0.130235314,,4.957E-12,-3.0798E-11
USDA16,0.022719376,0.130193233,,USDA16,0.022719376,0.130193234,,-8.34499E-13,-1.001E-11
USDA17,0.02050785,0.133138686,,USDA17,0.02050785,0.133138686,,2.903E-12,1.8533E-11
USDA18,0.024363389,0.126842067,,USDA18,0.024363389,0.126842067,,-1.2848E-12,4.5622E-11
USDA19,0.039287403,0.111109979,,USDA19,0.039287403,0.11110998,,-4.1013E-12,-4.9297E-11
USDA2,0.033276595,0.12043222,,USDA2,0.033276595,0.12043222,,-4.7337E-12,-6.20004E-13
USDA21,0.041960161,0.108363673,,USDA21,0.041960161,0.108363673,,-6.95895E-13,-9.065E-12
USDA3,0.045263603,0.114873484,,USDA3,0.045263603,0.114873484,,-3.41498E-13,-2.2954E-11
USDA4,0.03943029,0.102780052,,USDA4,0.03943029,0.102780052,,5.86496E-13,2.9408E-11
USDA5,0.053972524,0.104378872,,USDA5,0.053972524,0.104378872,,-5.32303E-13,1.9701E-11
USDA6,0.047181562,0.100716017,,USDA6,0.047181562,0.100716017,,-7.58997E-13,-1.3358E-11
USDA7,0.048298784,0.092038341,,USDA7,0.048298784,0.092038341,,3.30402E-13,-3.43429E-12
USDA8,0.055638213,0.090497337,,USDA8,0.055638213,0.090497337,,6.18998E-13,1.70389E-12
USDA9,0.051793315,0.096747719,,USDA9,0.051793315,0.096747719,,-3.4557E-12,1.43049E-12
VER,0.030604836,0.135368899,,VER,0.030604836,0.135368899,,-3.391E-13,1.0933E-11
WTR,0.082209319,0.085985124,,WTR,0.082209319,0.085985124,,-3.73351E-12,1.17549E-12
