"pop_code","VT","IH"
"CHL",12.4438373010745,40.774496005131
"CLK",76.7667633226878,33.5950561643486
"CPL",29.2988141860889,36.8660162723144
"DCK",20.5157812594852,32.1328266204958
"DPR",12.7793055291328,34.8449732964725
"GAM",43.0579012812273,33.0574656711069
"HBY",27.0583066157666,41.8921270980953
"HST",30.5167812890088,55.9726408498687
"KAP",29.5272060550804,47.1968057043113
"LON",22.3933891173826,31.0660295251002
"LPD",27.3444871540751,29.9267583268606
"MMT",16.9062498860512,33.8678650758912
"NBY",25.8515607350955,22.3686628735441
"NIC",12.3920098650705,39.5340729454998
"OFR",22.0368549641878,39.732664375997
"OUT",16.7638957130441,43.4895618346324
"SKN",23.4487740346764,38.1035563617645
"SLC",16.0762182811929,30.0726695880784
"SSR",63.9317984832498,71.0009876132187
"TIM",29.36158825833,51.3749093709833
"TUR",42.3894653029972,28.1934004363981
"USDA1",25.3939500159696,32.240301365563
"USDA10",25.4203663639959,44.1161760897321
"USDA12",36.4737986309573,37.9063858494483
"USDA13",28.7762172588256,49.1100391847306
"USDA14",23.4622854197377,47.109832575124
"USDA15",38.1080506801954,46.8495685877017
"USDA16",34.4316289579602,61.1458652869086
"USDA17",31.1501037863115,67.161129066255
"USDA18",27.3250641780828,61.5679013499364
"USDA19",21.5949109029195,41.6893144803864
"USDA2",25.3611781907716,32.9368332614922
"USDA21",21.6638210793064,26.3241827539193
"USDA3",53.6777851806606,62.1521412797649
"USDA4",23.2809325661863,23.2996282270923
"USDA5",28.1372258218538,31.5346553178871
"USDA6",28.9227386987138,31.6995725974261
"USDA7",22.7898502441598,28.1314507755677
"USDA8",15.8746441373127,25.5440574403187
"USDA9",14.7057138784372,25.5593801772153
"VER",32.3525137348331,29.0073571739032
"WTR",38.434266202004,65.9088671797495
